ident,latitude_deg,longitude_deg,term
FEGU,6.517,18.267,z
FEFS,6.492,17.429,z
SVTE,6.4833,-62.8833,z
FKKT,6.483,12.633,z
DNEN,6.4743,7.562,z
DBBB,6.3572,2.3844,z
FEGZ,6.3442,16.3219,z
WMKL,6.3297,99.7287,z
DNBE,6.317,5.5995,z
FEGD,6.3,19.083,z
SVPJ,6.2833,-69.3167,z
WMKA,6.1897,100.398,z
WMKC,6.1669,102.293,z
SVLK,6.1667,-69.1667,z
ULWK,59.977,45.825,z
AK17,59.7636,-151.223,z
CNL9,59.7081,-100.127,z
5BL,59.6447,-151.502,z
UHMT,59.6233,150.922,z
CJP6,59.61,-109.267,z
CJP9,59.6017,-109.137,z
ESOW,59.5894,16.6336,z
A68,59.5516,-139.509,z
ESSB,59.3544,17.9417,z
EGEP,59.3517,-2.9003,z
Z33,59.274,-158.624,z
CYSF,59.2503,-105.841,z
ESOE,59.2237,15.038,z
EGED,59.1906,-2.7722,z
AK21,59.1326,-157.777,z
EEKA,58.9908,22.8307,z
EGPA,58.9578,-2.905,z
6AK1,58.9117,-161.714,z
93AK,58.872,-158.472,z
CBK7,58.8494,-125.24,z
CBL3,58.8167,-122.783,z
CYYQ,58.7392,-94.065,z
CFU4,58.7139,-113.876,z
PAEH,58.6464,-162.063,z
CYOJ,58.6214,-117.165,z
UEEA,58.6028,125.409,z
ESSP,58.5863,16.2506,z
CFG5,58.4914,-115.138,z
EEPU,58.419,24.4728,z
CEZ4,58.4042,-115.951,z
ESGT,58.3181,12.345,z
UIKM,58.3133,112.89,z
5Z1,58.2989,-134.408,z
CYNL,58.2767,-104.082,z
CYKC,58.2361,-103.678,z
EEKE,58.2299,22.5095,z
PAEL,58.1952,-136.347,z
CFN5,58.1729,-116.3379,z
CYVP,58.0961,-68.4269,z
UIKB,57.8661,114.243,z
CEV2,57.85,-113.25,z
ULOO,57.7839,28.3956,z
KWP,57.7701,-153.549,z
CKQ8,57.7675,-105.024,z
ESGJ,57.7576,14.0687,z
CKN8,57.7425,-103.945,z
CFM2,57.7,-111.833,z
CJQ9,57.6194,-99.8753,z
CFL9,57.5667,-110.317,z
EGPE,57.5425,-4.0475,z
UNOW,57.504,72.331,z
CFF3,57.4833,-113.883,z
EGPL,57.4811,-7.3628,z
CYKJ,57.2561,-105.618,z
CAL4,57.2239,-111.419,z
CFS6,57.1419,-115.075,z
CFW4,57.1375,-110.893,z
PASI,57.0471,-135.362,z
EVRS,56.9911,24.075,z
CBQ7,56.9744,-126.741,z
CJS2,56.9494,-102.239,z
UUBI,56.9394,40.9408,z
ESMX,56.9291,14.728,z
UNOT,56.9,74.3,z
CYYL,56.8639,-101.076,z
USII,56.8281,53.4575,z
UUEM,56.8247,35.7577,z
ESMT,56.6911,12.8202,z
CBW3,56.5214,-124.4703,z
CYLR,56.5133,-99.9853,z
EGPU,56.4992,-6.8692,z
CJL4,56.4733,-109.404,z
68A,56.4663,-132.38,z
CFM6,56.4594,-114.119,z
EGPN,56.4525,-3.0258,z
UIBB,56.3706,101.698,z
CFA5,56.3,-112.233,z
ESTA,56.2961,12.8471,z
Z78,56.2956,-158.401,z
CFT8,56.1608,-113.474,z
Z52,56.0367,-160.266,z
EYPA,55.9732,21.0939,z
5C5,55.9586,-133.253,z
CEP5,55.9,-110.733,z
CKB2,55.9,-107.721,z
EYSA,55.8939,23.395,z
CYTH,55.8011,-97.8642,z
EYPP,55.7294,24.4608,z
CYCQ,55.6872,-121.627,z
CGL4,55.6711,-117.936,z
CFF2,55.59,-111.823,z
CZMN,55.5889,-97.1642,z
CJY4,55.5456,-102.272,z
CJF3,55.4897,-107.93,z
EGEC,55.4372,-5.6864,z
CFY2,55.4,-110.483,z
8K9,55.3896,-131.738,z
9C0,55.3847,-131.738,z
CZLQ,55.3189,-97.7078,z
CFK4,55.3167,-113.25,z
EYKD,55.3117,23.9564,z
CJW4,55.2869,-102.75,z
CYGW,55.2819,-77.7653,z
UNEE,55.2701,86.1072,z
CEU2,55.1842,-119.448,z
CYVC,55.1514,-105.262,z
CJK3,55.1103,-107.716,z
CBQ8,55.0667,-128.233,z
EGAE,55.0428,-7.1611,z
UNOK,55.02,74.61,z
UWGB,55.02,45.315,z
UNOO,54.967,73.3105,z
EKSB,54.9644,9.7917,z
EYKA,54.9639,24.0848,z
USCV,54.953,61.5,z
CKK6,54.9167,-98.6167,z
CJE4,54.8972,-99.8189,z
UMKK,54.89,20.5926,z
CCP6,54.8378,-69.8928,z
CYYD,54.8247,-127.183,z
CYKL,54.8053,-66.8053,z
UIIV,54.8,105.15,z
CYWM,54.7431,-113.205,z
UHPM,54.6806,158.5485,z
CEM5,54.6708,-115.415,z
CJS8,54.55,-94.4667,z
CZJG,54.5189,-98.0461,z
CEN5,54.4775,-110.269,z
CKF4,54.4167,-109.233,z
CYOD,54.405,-110.279,z
CYJM,54.3972,-124.263,z
CED4,54.38,-116.766,z
CKL6,54.2919,-104.671,z
CYPR,54.2861,-130.445,z
CKJ8,54.2581,-97.0111,z
EDXH,54.1853,7.9158,z
CYLJ,54.1253,-108.523,z
UWPS,54.1251,45.2123,z
CYQD,53.9714,-101.091,z
CNE3,53.9656,-91.0272,z
CJT4,53.9561,-102.298,z
UMOO,53.9549,30.0951,z
CYIV,53.8572,-94.6536,z
CBA8,53.8556,-122.908,z
CKB6,53.8492,-89.5794,z
CKX8,53.8361,-107.009,z
CSU2,53.8056,-78.9169,z
CYGL,53.6253,-77.7042,z
CJT9,53.6206,-107.609,z
EIAB,53.5917,-7.6456,z
CYET,53.5789,-116.465,z
CKH3,53.5319,-106.884,z
CYAQ,53.5247,-88.6428,z
CJK2,53.52,-96.3711,z
CEV3,53.5144,-112.027,z
CKU3,53.4,-104.017,z
USCM,53.3931,58.7557,z
CJE5,53.3772,-108.342,z
UNBB,53.3638,83.5385,z
CKH7,53.3633,-107.548,z
CYBU,53.3325,-104.008,z
CYZP,53.2543,-131.814,z
EICL,53.2497,-7.1227,z
EICA,53.2303,-9.4678,z
EHLW,53.2286,5.7606,z
CJZ4,53.2283,-106.363,z
CYPA,53.2142,-105.673,z
